List Name,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15
Anger,mad,fear,hate,rage,temper,fury,ire,wrath,happy,fight,hatred,mean,calm,emotion,enrage
Black,white,dark,cat,charred,night,funeral,color,grief,blue,death,ink,bottom,coal,brown,gray
Bread,butter,food,eat,sandwich,rye,jam,milk,flour,jelly,dough,crust,slice,wine,loaf,toast
Chair,table,sit,legs,seat,couch,desk,recliner,sofa,wood,cushion,swivel,stool,sitting,rocking,bench
Cold,hot,snow,warm,winter,ice,wet,frigid,chilly,heat,weather,freeze,air,shiver,Arctic,frost
Doctor,nurse,sick,lawyer,medicine,health,hospital,dentist,physician,ill,patient,office,stethoscope,surgeon,clinic,cure
Foot,shoe,hand,toe,kick,sandals,soccer,yard,walk,ankle,arm,boot,inch,sock,smell,mouth
Fruit,apple,vegetable,orange,kiwi,citrus,ripe,pear,banana,berry,cherry,basket,juice,salad,bowl,cocktail
Girl,boy,dolls,female,young,dress,pretty,hair,niece,dance,beautiful,cute,date,aunt,daughter,sister
High,low,clouds,up,tall,tower,jump,above,building,noon,cliff,sky,over,airplane,dive,elevate
King,queen,England,crown,prince,George,dictator,palace,throne,chess,rule,subjects,monarch,royal,leader,reign
Man,woman,husband,uncle,lady,mouse,male,father,strong,friend,beard,person,handsome,muscle,suit,old
Mountain,hill,valley,climb,summit,top,molehill,peak,plain,glacier,goat,bike,climber,range,steep,ski
Music,note,sound,piano,sing,radio,band,melody,horn,concert,instrument,symphony,jazz,orchestra,art,rhythm
Needle,thread,pin,eye,sewing,sharp,point,prick,thimble,haystack,thorn,hurt,injection,syringe,cloth,knitting
River,water,stream,lake,Mississippi,boat,tide,swim,flow,run,barge,creek,brook,fish,bridge,winding
Rough,smooth,bumpy,road,tough,sandpaper,jagged,ready,coarse,uneven,riders,rugged,sand,boards,ground,gravel
Sleep,bed,rest,awake,tired,dream,wake,snooze,blanket,doze,slumber,snore,nap,peace,yawn,drowsy
Slow,fast,lethargic,stop,listless,snail,cautious,delay,traffic,turtle,hesitant,speed,quick,sluggish,wait,molasses
Soft,hard,light,pillow,plush,loud,cotton,fur,touch,fluffy,feather,furry,downy,kitten,skin,tender
Spider,web,insect,bug,fright,fly,arachnid,crawl,tarantula,poison,bite,creepy,animal,ugly,feelers,small
Sweet,sour,candy,sugar,bitter,good,taste,tooth,nice,honey,soda,chocolate,heart,cake,tart,pie
Thief,steal,robber,crook,burglar,money,cop,bad,rob,jail,gun,villain,crime,bank,bandit,criminal
Window,door,glass,pane,shade,ledge,sill,house,open,curtain,frame,view,breeze,sash,screen,shutter